Date,Visitor,AWAYPTS,Home,HOMEPTS,OT
01/04/20,Texas,44,Baylor,59,
01/04/20,West Virginia,53,Kansas,60,
01/04/20,Kansas State,61,Oklahoma,66,
01/04/20,Iowa State,79,Texas Christian,81,OT
01/04/20,Oklahoma State,50,Texas Tech,85,
01/06/20,West Virginia,55,Oklahoma State,41,
01/07/20,Texas Christian,59,Kansas State,57,
01/07/20,Baylor,57,Texas Tech,52,
01/08/20,Kansas,79,Iowa State,53,
01/08/20,Oklahoma,72,Texas,62,
01/11/20,Oklahoma,68,Iowa State,81,
01/11/20,Baylor,67,Kansas,55,
01/11/20,Kansas State,50,Texas,64,
01/11/20,Oklahoma State,40,Texas Christian,52,
01/11/20,Texas Tech,54,West Virginia,66,
01/14/20,Texas Tech,77,Kansas State,63,
01/14/20,Kansas,66,Oklahoma,52,
01/14/20,Texas Christian,49,West Virginia,81,
01/15/20,Iowa State,55,Baylor,68,
01/15/20,Texas,76,Oklahoma State,64,
01/18/20,West Virginia,68,Kansas State,84,
01/18/20,Texas Christian,63,Oklahoma,83,
01/18/20,Baylor,75,Oklahoma State,68,
01/18/20,Kansas,66,Texas,57,
01/18/20,Iowa State,52,Texas Tech,72,
01/20/20,Oklahoma,57,Baylor,61,
01/20/20,Texas,59,West Virginia,97,
01/21/20,Oklahoma State,82,Iowa State,89,
01/21/20,Kansas State,60,Kansas,81,
01/21/20,Texas Tech,54,Texas Christian,65,
01/27/20,Kansas,65,Oklahoma State,50,
01/29/20,Baylor,67,Iowa State,53,
01/29/20,Oklahoma,53,Kansas State,61,
01/29/20,Texas,62,Texas Christian,61,
01/29/20,West Virginia,81,Texas Tech,89,
02/01/20,Texas Christian,52,Baylor,68,
02/01/20,Texas Tech,75,Kansas,78,
02/01/20,Oklahoma State,69,Oklahoma,82,
02/01/20,Iowa State,68,Texas,72,
02/01/20,Kansas State,57,West Virginia,66,
02/03/20,Texas,58,Kansas,69,
02/03/20,Baylor,73,Kansas State,67,
02/04/20,Oklahoma,61,Texas Tech,69,
02/05/20,Texas Christian,57,Oklahoma State,72,
02/05/20,Iowa State,61,West Virginia,76,
02/08/20,Oklahoma State,70,Baylor,78,
02/08/20,Kansas State,63,Iowa State,73,
02/08/20,West Virginia,59,Oklahoma,69,
02/08/20,Texas Tech,62,Texas,57,
02/08/20,Kansas,60,Texas Christian,46,
02/10/20,Baylor,52,Texas,45,
02/10/20,Texas Christian,42,Texas Tech,88,
02/11/20,Oklahoma State,64,Kansas State,59,
02/12/20,Iowa State,61,Oklahoma,90,
02/12/20,Kansas,58,West Virginia,49,
02/15/20,West Virginia,59,Baylor,70,
02/15/20,Texas,52,Iowa State,81,
02/15/20,Oklahoma,70,Kansas,87,
02/15/20,Texas Tech,70,Oklahoma State,73,
02/15/20,Kansas State,57,Texas Christian,68,
02/17/20,Iowa State,71,Kansas,91,
02/18/20,Baylor,65,Oklahoma,54,
02/18/20,Oklahoma State,47,West Virginia,65,
02/19/20,Texas Christian,56,Texas,70,
02/19/20,Kansas State,62,Texas Tech,69,
02/22/20,Kansas,64,Baylor,61,
02/22/20,Texas Tech,87,Iowa State,57,
02/22/20,Texas,70,Kansas State,59,
02/22/20,Oklahoma,66,Oklahoma State,83,
02/22/20,West Virginia,60,Texas Christian,67,OT
02/24/20,Oklahoma State,58,Kansas,83,
02/24/20,West Virginia,57,Texas,67,
02/25/20,Kansas State,66,Baylor,85,
02/25/20,Texas Christian,59,Iowa State,65,
02/25/20,Texas Tech,51,Oklahoma,65,
02/29/20,Kansas,62,Kansas State,58,
02/29/20,Iowa State,61,Oklahoma State,73,
02/29/20,Baylor,72,Texas Christian,75,
02/29/20,Texas,68,Texas Tech,58,
02/29/20,Oklahoma,73,West Virginia,62,
03/02/20,Texas Tech,68,Baylor,71,OT
03/03/20,West Virginia,,Iowa State,,
03/03/20,Texas,,Oklahoma,,
03/04/20,Texas Christian,,Kansas,,
03/04/20,Kansas State,,Oklahoma State,,
03/07/20,Iowa State,,Kansas State,,
03/07/20,Oklahoma State,,Texas,,
03/07/20,Oklahoma,,Texas Christian,,
03/07/20,Kansas,,Texas Tech,,
03/07/20,Baylor,,West Virginia,,
